hora_ingreso,nro_registro_interno,situacion,origen,es_anonima,tema,subtema,provincia,localidad,via_ingreso,consultante_provincia,consultante_como_conocio_la_linea,consultante_edad_aparente,ingreso_anio,ingreso_mes,ingreso_dia
,8425754505,0,0,0,34,8,0,150,11,0,38,,2020,1,30
,5525754505,1,0,1,39,706,4,86,11,24,38,,2020,2,1
,6525754505,1,0,0,12,442,13,265,11,24,38,,2020,2,1
,7525754505,1,0,0,31,612,0,47,11,24,38,,2020,2,1
,8435754505,1,0,0,31,612,0,47,11,24,38,,2020,2,1
,535754505,1,1,0,0,8,0,274,11,24,38,,2020,2,1
,2535754505,1,0,1,34,294,24,529,11,24,38,,2020,2,1
,3535754505,1,0,0,39,175,0,47,12,12,38,,2020,2,2
,5535754505,1,0,0,16,615,0,47,11,24,38,,2020,2,2
,7535754505,1,0,0,35,556,0,47,11,24,38,,2020,2,2
,8445754505,1,0,0,39,175,0,178,11,24,38,,2020,2,2
,9445754505,1,0,0,38,613,0,47,11,24,38,,2020,2,2
,545754505,1,0,0,30,585,7,529,11,24,4,58.0,2020,2,2
,2545754505,1,0,0,34,298,0,214,11,24,38,,2020,2,2
,9455754505,1,0,0,35,318,0,47,11,24,38,,2020,2,4
,555754505,1,0,1,34,502,6,119,11,6,38,,2020,2,4
,2555754505,1,1,0,34,510,0,442,2,24,38,,2020,2,4
,3555754505,1,0,1,34,295,0,48,11,0,38,,2020,2,4
,4555754505,1,0,0,39,172,14,304,11,24,13,57.0,2020,2,4
,9465754505,1,0,0,35,317,20,372,11,24,13,,2020,2,5
,1565754505,1,0,0,34,33,0,156,2,24,13,,2020,2,5
,5565754505,1,0,0,34,506,0,180,11,24,38,,2020,2,5
,6565754505,1,0,0,34,294,4,86,11,0,38,,2020,2,5
,8475754505,1,0,0,35,317,0,60,11,24,13,,2020,2,6
,575754505,1,0,0,30,585,8,95,11,8,13,,2020,2,6
,3575754505,1,0,0,34,294,0,47,11,24,38,,2020,2,7
,8484845505,1,0,0,34,542,6,119,11,6,38,,2020,2,7
,3584845505,0,1,0,34,294,24,529,11,24,38,,2020,2,8
,4584845505,1,1,0,34,481,0,203,2,24,38,,2020,2,8
,6584845505,1,0,0,34,445,0,47,11,16,13,,2020,2,8
,7584845505,1,1,0,34,294,9,217,11,24,38,,2020,2,8
,8494845505,1,0,0,34,290,24,529,11,24,13,,2020,2,8
,5594845505,1,0,0,30,585,0,251,11,24,38,,2020,2,9
,8405845505,1,0,0,34,294,5,144,11,5,38,,2020,2,10
,9405845505,1,0,1,34,294,24,529,11,24,38,,2020,2,10
,1505845505,1,0,0,34,481,24,529,11,24,38,,2020,2,10
,3505845505,1,0,0,34,506,12,282,11,24,38,,2020,2,10
,5505845505,1,0,0,34,443,18,399,11,0,38,,2020,2,11
,6505845505,1,0,0,34,452,0,275,2,24,22,,2020,2,11
,8415845505,1,0,0,34,506,24,529,11,24,22,40.0,2020,2,11
,515845505,1,0,0,34,443,24,529,11,24,13,,2020,2,11
,525845505,1,0,0,34,290,16,379,11,16,13,,2020,2,13
,1525845505,1,0,1,34,294,14,303,11,24,38,,2020,2,13
,3525845505,1,0,0,34,294,5,112,11,5,38,,2020,2,13
,6525845505,1,0,0,34,449,0,47,11,24,13,,2020,2,13
,1535845505,1,0,0,34,558,24,529,11,0,13,,2020,2,14
,6535845505,1,0,0,30,585,0,310,2,24,38,,2020,2,14
,9445845505,1,0,1,34,294,0,47,11,24,38,,2020,2,14
,2545845505,1,0,0,34,320,24,529,11,24,13,,2020,2,14
,5545845505,1,0,0,34,8,5,144,11,5,38,,2020,2,15
,9455845505,1,0,1,28,213,12,315,11,24,38,,2020,2,16
,555845505,1,0,0,34,393,0,47,11,24,38,,2020,2,16
,1555845505,1,0,0,34,481,0,133,11,24,38,,2020,2,16
,7555845505,1,0,0,34,506,0,24,11,24,38,,2020,2,17
,8465845505,1,0,0,34,290,24,529,11,23,38,,2020,2,17
,9465845505,1,0,0,34,290,2,360,11,24,38,,2020,2,17
