hora_ingreso,es_anonima,situacion,origen,provincia,derivacion_institucion,denunciante_nacionalidad,denunciante_provincia,denunciante_localidad,denunciante_como_conocio_la_linea,denunciante_genero,denunciante_edad_aparente,derivacion_fecha,derivacion_judicializa,derivacion2_institucion,derivacion2_fecha,derivacion2_judicializa,fecha_ingreso
1.0,0.0,1.0,0.0,0.0,0.8205128205128205,1.0,1.0,0.982078853046595,0.7941176470588235,0.0,0.2854466899479466,0.0,0.5,0.9130434782608695,1.0,1.0,0.0
1.0,0.0,0.0,0.003257328990228013,0.17391304347826086,0.41025641025641024,0.0,0.16666666666666666,0.16845878136200718,0.7941176470588235,0.15384615384615385,0.2854466899479466,0.0,0.5,0.9130434782608695,1.0,1.0,0.0
1.0,0.0,1.0,0.0,0.0,0.8205128205128205,0.0,0.0,0.1827956989247312,0.7941176470588235,0.15384615384615385,0.4891304347826087,0.0007987220447284345,0.5,0.9130434782608695,1.0,1.0,0.0007930214115781126
1.0,1.0,1.0,0.0,0.2608695652173913,0.8205128205128205,0.0,1.0,0.982078853046595,0.5,0.15384615384615385,0.5434782608695652,0.12939297124600638,0.5,0.9130434782608695,1.0,1.0,0.0007930214115781126
1.0,0.0,1.0,0.0,0.0,0.8205128205128205,1.0,1.0,0.982078853046595,0.7941176470588235,0.0,0.2854466899479466,0.12939297124600638,0.5,0.9130434782608695,1.0,1.0,0.0007930214115781126
1.0,0.0,1.0,0.003257328990228013,0.0,0.9743589743589743,1.0,0.0,0.982078853046595,0.7941176470588235,0.15384615384615385,0.2854466899479466,0.12939297124600638,0.5,0.9130434782608695,1.0,1.0,0.0007930214115781126
1.0,0.0,0.0,0.003257328990228013,0.0,0.923076923076923,0.0,0.0,0.0967741935483871,0.7941176470588235,0.15384615384615385,0.2854466899479466,1.0,1.0,0.9130434782608695,1.0,1.0,0.0015860428231562252
1.0,1.0,1.0,0.0,0.0,0.9743589743589743,1.0,1.0,0.982078853046595,0.7941176470588235,0.15384615384615385,0.2854466899479466,0.001597444089456869,0.5,0.9130434782608695,1.0,1.0,0.0015860428231562252
1.0,1.0,1.0,0.0,0.0,0.923076923076923,1.0,1.0,0.982078853046595,0.7941176470588235,0.15384615384615385,0.2854466899479466,1.0,1.0,0.9130434782608695,1.0,1.0,0.0015860428231562252
1.0,0.0,1.0,0.0,0.0,0.9743589743589743,1.0,0.0,0.0967741935483871,0.7941176470588235,0.15384615384615385,0.2854466899479466,0.001597444089456869,0.5,0.9130434782608695,1.0,1.0,0.0015860428231562252
1.0,1.0,1.0,0.0,0.17391304347826086,0.9743589743589743,1.0,0.0,0.0967741935483871,0.7941176470588235,0.0,0.2854466899479466,0.001597444089456869,0.5,0.9130434782608695,1.0,1.0,0.0015860428231562252
1.0,0.0,1.0,0.0,0.0,0.8205128205128205,1.0,0.0,0.9175627240143369,0.7941176470588235,0.0,0.2854466899479466,0.0023961661341853034,0.5,0.9130434782608695,1.0,1.0,0.002379064234734338
1.0,0.0,1.0,0.0,0.0,0.9743589743589743,1.0,0.0,0.982078853046595,0.7941176470588235,0.15384615384615385,0.2854466899479466,0.0023961661341853034,0.5,0.9130434782608695,1.0,1.0,0.002379064234734338
